SIZE,STOCK #,SIZE.1,STOCK #.1,SIZE.2,STOCK #.2,SIZE.3,STOCK #.3,SIZE.4,STOCK #.4
1-48,RDSP75124,1-1/4-8,RDSP75172,1-1/2-32,RDSP75220,1-3/8-18,RDSP75272,2-4,RDSP75324
1-56,RDSP75125,1-1/4-10,RDSP75173,1-3/8-20,RDSP75273,2-6,RDSP75325,,
1-1/4-14,RDSP75174,1-3/8-24,RDSP75274,2-8,RDSP75326,,,,
1-1/4-16,RDSP75175,1-7/16-6,RDSP75275,2-10,RDSP75327,,,,
1-1/4-18,RDSP75176,1-7/16-8,RDSP75276,2-14,RDSP75328,,,,
1-1/4-20,RDSP75177,1-7/16-12,RDSP75277,2-16,RDSP75329,,,,
1-7/16-16,RDSP75278,2-18,RDSP75330,,,,,,
1-7/16-18,RDSP75279,2-20,RDSP75331,,,,,,
1-1/2-8,RDSP75280,2-24,RDSP75332,,,,,,
1-1/2-10,RDSP75281,1 per pack,,,,,,,
B-25,,,,,,,,,
